id,tag,cite,fullcite,summary,spoken,fulltext,markup,hat,block,bucketId,duplicateCount,teamDisplayName,schoolDisplayName,caselistDisplayName,tournament,round,opponent,judge,year,event,level,filePath,opensourcePath
1,"Courts solve warming now","Smith 22","Smith, 2022, Climate Review, ""Courts Solve Warming Now"", https://example.com/courts-warming","Courts force agency action on emissions.","Courts force agencies to cut carbon now.","Courts force agencies to cut carbon now. That changes emissions trajectories immediately.","<p>Courts <mark>force agencies</mark> to cut carbon now.</p>","advantage","courts","bucket-policy-courts-climate",14,"Northwestern MN","Northwestern","Northwestern MN","Glenbrooks","6","Michigan KM","Jones","2022","policy","varsity","/files/1","/wiki/1"
2,"Courts check executive overreach","Lee 22","Lee, 2022, Legal Affairs, ""Executive Overreach"", https://example.com/executive-overreach","Judicial review blocks arbitrary rollbacks of climate rules.","Judicial review blocks rollbacks of climate rules and stabilizes regulation.","Judicial review blocks arbitrary rollbacks of climate rules and stabilizes regulation.","<p>Judicial review <mark>blocks rollbacks</mark> of climate rules.</p>","advantage","courts","bucket-policy-courts-climate",9,"Northwestern MN","Northwestern","Northwestern MN","Glenbrooks","5","Harvard RS","Moore","2022","policy","varsity","/files/2","/wiki/2"
3,"Industrial policy accelerates green tech","Garcia 22","Garcia, 2022, Green Futures, ""Industrial Policy"", https://example.com/industrial-policy","Industrial policy speeds deployment of clean manufacturing.","Targeted subsidies build domestic supply chains for clean tech.","Targeted subsidies build domestic supply chains for clean tech and battery production.","<p>Targeted subsidies build <mark>domestic supply chains</mark> for clean tech.</p>","solvency","industrial policy","bucket-policy-industrial",8,"Berkeley CP","Berkeley","Berkeley CP","Emory","4","Dartmouth TJ","Kim","2022","policy","varsity","/files/3","/wiki/3"
4,"Deterrence prevents great power war","Patel 22","Patel, 2022, Strategic Studies, ""Deterrence Stability"", https://example.com/deterrence-stability","Credible deterrence reduces escalation between nuclear states.","Maintaining deterrence prevents rapid escalation to major power war.","Maintaining deterrence prevents rapid escalation to major power war by raising the costs of miscalculation.","<p>Maintaining deterrence prevents <mark>major power war</mark>.</p>","contention","deterrence","bucket-ld-deterrence-stability",11,"Westwood AC","Westwood","Westwood AC","Harvard","3","Strake Jesuit DR","Tan","2022","ld","varsity","/files/4","/wiki/4"
5,"Open borders are a moral obligation","Nguyen 22","Nguyen, 2022, Ethics Quarterly, ""Open Borders"", https://example.com/open-borders","Freedom of movement is a core demand of equal moral worth.","States violate equal dignity when they restrict peaceful migration.","States violate equal dignity when they restrict peaceful migration and deny people the right to seek a better life.","<p>States violate <mark>equal dignity</mark> when they restrict migration.</p>","contention","open borders","bucket-ld-borders",7,"Lincoln HL","Lincoln","Lincoln HL","Yale","5","Apple Valley TZ","Rivera","2022","ld","varsity","/files/5","/wiki/5"
6,"Cryptocurrency expands financial inclusion","Ahmed 22","Ahmed, 2022, Fintech Review, ""Crypto Inclusion"", https://example.com/crypto-inclusion","Low-fee digital rails help unbanked users move money.","Crypto lowers remittance costs and expands access to basic financial services.","Crypto lowers remittance costs and expands access to basic financial services for users excluded by banks.","<p>Crypto lowers <mark>remittance costs</mark> and expands inclusion.</p>","contention","cryptocurrency","bucket-pf-crypto-inclusion",13,"Blake JS","Blake","Blake JS","TOC","6","University PM","Walker","2022","pf","varsity","/files/6","/wiki/6"
7,"Social media bans protect teen mental health","Ramos 22","Ramos, 2022, Public Health Today, ""Platform Harm"", https://example.com/social-media-harm","Limiting social media reduces anxiety and self-harm exposure.","Reducing social media access decreases exposure to addictive design and harmful comparison cycles.","Reducing social media access decreases exposure to addictive design and harmful comparison cycles for teenagers.","<p>Reducing social media access <mark>decreases harm</mark>.</p>","contention","social media","bucket-pf-health",6,"Newton South LL","Newton South","Newton South LL","Sunvite","4","Walt Whitman PR","Howard","2022","pf","varsity","/files/7","/wiki/7"
8,"Art should disturb comfortable audiences","Bennett 22","Bennett, 2022, Aesthetics Review, ""Art and Discomfort"", https://example.com/art-discomfort","Provocative art expands moral imagination and democratic critique.","Good art should challenge complacency and reveal hidden injustice.","Good art should challenge complacency and reveal hidden injustice instead of merely decorating public life.","<p>Good art should <mark>challenge complacency</mark>.</p>","contention","art ethics","bucket-bq-art",5,"East Chapel Hill AB","East Chapel Hill","East Chapel Hill AB","NSDA Nats","2","Bellarmine CD","Price","2022","bq","varsity","/files/8","/wiki/8"
9,"Community service should be required for graduation","Foster 22","Foster, 2022, Civic Education Journal, ""Service Learning"", https://example.com/service-learning","Service requirements strengthen civic habits and local trust.","Mandatory service builds civic responsibility and connects students to community needs.","Mandatory service builds civic responsibility and connects students to community needs through repeated practice.","<p>Mandatory service builds <mark>civic responsibility</mark>.</p>","contention","community service","bucket-bq-service-civic",8,"Lake Highland EF","Lake Highland","Lake Highland EF","NSDA Nats","5","Plano East GH","Lopez","2022","bq","varsity","/files/9","/wiki/9"
10,"No U.S.-China war now","Heath 17","Heath, 2017, National Interest, ""U.S.-China Tensions Are Unlikely to Lead to War"", http://nationalinterest.org/feature/us-china-tensions-are-unlikely-lead-war-20411?page=2","The present U.S.-China rivalry is too restrained to trigger a major war.","Relative stability and trade ties make accidental escalation to war extremely unlikely.","Relative stability and trade ties make accidental escalation to war extremely unlikely because both countries remain far from Cold War hostility.","<p><mark>Relative stability</mark> and trade ties make accidental escalation to <mark>war extremely unlikely</mark>.</p>","advantage","us china war","bucket-policy-war-restraint",12,"Georgetown JD","Georgetown","Georgetown JD","Greenhill","7","Harvard KR","Allison","2017","policy","varsity","/files/10","/wiki/10"
11,"China and the U.S. remain far from major war","Thompson 17","Thompson, 2017, Strategic Asia, ""The U.S.-China Relationship"", https://example.com/us-china-relationship","China and the United States compete, but the rivalry is still bounded.","The two countries view each other as trade partners and shared-concern actors, not primary enemies.","The two countries view each other as trade partners and shared-concern actors, not primary enemies, which keeps the rivalry restrained and lowers the risk of war.","<p>The rivalry is <mark>restrained</mark> and both countries remain far from <mark>major war</mark>.</p>","advantage","us china war","bucket-policy-war-restraint",8,"Georgetown JD","Georgetown","Georgetown JD","Greenhill","6","Northwestern MN","Baker","2017","policy","varsity","/files/11","/wiki/11"
12,"Congress should pass transparency rules","Cole 22","Cole 22","This should be skipped for the demo index.","","This should be skipped for the demo index.","<p>Skip me</p>","strategy","transparency","bucket-cx-transparency",2,"Central XY","Central","Central XY","St Marks","3","Westlake UV","Brown","2022","cx","varsity","/files/12","/wiki/12"
13,"Taiwan crises stay below full-scale U.S.-China war","Reed 22","Reed, 2022, Pacific Security, ""Taiwan Crisis Limits"", https://example.com/taiwan-crisis-limits","The Taiwan flashpoint is dangerous but still bounded below major-power war.","Even serious Taiwan crises remain below full-scale war because both sides fear uncontrollable escalation.","Even serious Taiwan crises remain below full-scale war because both sides fear uncontrollable escalation and retain off-ramps.","<p>Taiwan crises remain <mark>below full-scale war</mark> because leaders fear escalation.</p>","advantage","us china war","bucket-policy-war-taiwan",9,"Georgetown JD","Georgetown","Georgetown JD","Greenhill","8","MBA AM","Bates","2022","policy","varsity","/files/13","/wiki/13"
14,"Trade interdependence restrains U.S.-China escalation","Lin 21","Lin, 2021, International Economy, ""Trade and Restraint"", https://example.com/trade-restraint","Deep trade interdependence makes leaders cautious about war.","Mutual trade dependence raises the cost of escalation and helps prevent U.S.-China war.","Mutual trade dependence raises the cost of escalation and helps prevent U.S.-China war by making disruption immediately visible to elites and firms.","<p>Trade interdependence raises the <mark>cost of escalation</mark> and restrains war.</p>","advantage","us china war","bucket-policy-war-trade",7,"Northwestern MN","Northwestern","Northwestern MN","Glenbrooks","7","Glenbrook South MM","Hobbs","2021","policy","varsity","/files/14","/wiki/14"
15,"Judicial review accelerates EPA rules","Chen 22","Chen, 2022, Environmental Law Today, ""Judicial Review and EPA Rules"", https://example.com/judicial-review-epa","Courts pressure agencies to finalize stronger climate standards.","Aggressive judicial review forces agencies to defend and finalize stronger EPA rules.","Aggressive judicial review forces agencies to defend and finalize stronger EPA rules instead of endlessly delaying them.","<p>Judicial review <mark>forces agencies</mark> to finalize stronger EPA rules.</p>","advantage","courts","bucket-policy-courts-climate",7,"Northwestern MN","Northwestern","Northwestern MN","Glenbrooks","8","MBA AM","Yang","2022","policy","varsity","/files/15","/wiki/15"
16,"State attorneys general use courts to lock in methane rules","Porter 22","Porter, 2022, Regulatory State, ""Methane Litigation"", https://example.com/methane-litigation","State AG suits entrench climate rules in federal court.","Methane cases in court stop rollback attempts and keep climate rules on the books.","Methane cases in court stop rollback attempts and keep climate rules on the books during administration changeovers.","<p>Methane litigation <mark>stops rollbacks</mark> and preserves rule durability.</p>","solvency","courts","bucket-policy-courts-methane",6,"Michigan KM","Michigan","Michigan KM","Glenbrooks","4","Northwestern MN","Clark","2022","policy","varsity","/files/16","/wiki/16"
17,"Industrial policy onshores batteries fast","Delgado 22","Delgado, 2022, Energy Strategy, ""Battery Industrial Policy"", https://example.com/battery-industrial-policy","Public investment rapidly expands battery manufacturing capacity.","Battery subsidies and procurement policy onshore clean-tech capacity at scale.","Battery subsidies and procurement policy onshore clean-tech capacity at scale while reducing supply-chain exposure.","<p>Battery subsidies <mark>onshore clean-tech capacity</mark> at scale.</p>","solvency","industrial policy","bucket-policy-industrial",6,"Berkeley CP","Berkeley","Berkeley CP","Emory","5","Glenbrook North TT","Wu","2022","policy","varsity","/files/17","/wiki/17"
18,"Permitting reform unlocks transmission buildout","Davis 22","Davis, 2022, Grid Futures, ""Permitting Reform"", https://example.com/permitting-reform","Streamlined siting speeds the buildout of clean-energy infrastructure.","Transmission lines and clean generation scale faster when permitting bottlenecks are reduced.","Transmission lines and clean generation scale faster when permitting bottlenecks are reduced and agencies coordinate reviews.","<p>Permitting reform <mark>unlocks transmission buildout</mark>.</p>","solvency","energy permitting","bucket-policy-permitting",5,"MBA AM","MBA","MBA AM","Greenhill","5","Georgetown JD","Nolan","2022","policy","varsity","/files/18","/wiki/18"
19,"Congressional stock trading bans restore legitimacy","Jordan 22","Jordan, 2022, Democratic Institutions Review, ""Trading Bans and Trust"", https://example.com/trading-bans","Banning congressional stock trading rebuilds institutional trust.","Ethics reforms curb corruption narratives and restore democratic legitimacy.","Ethics reforms curb corruption narratives and restore democratic legitimacy by reducing visible self-dealing.","<p>Trading bans <mark>restore legitimacy</mark> by reducing self-dealing.</p>","advantage","government legitimacy","bucket-policy-ethics",4,"Harvard RS","Harvard","Harvard RS","Emory","3","Northwestern MN","Ross","2022","policy","varsity","/files/19","/wiki/19"
20,"Deterrence credibility reduces brinkmanship","Miller 21","Miller, 2021, Security Review, ""Credibility and Brinkmanship"", https://example.com/deterrence-brinkmanship","Clear deterrent commitments reduce incentives to gamble.","Credible deterrence narrows the space for coercive brinkmanship and keeps crises contained.","Credible deterrence narrows the space for coercive brinkmanship and keeps crises contained even when rivals probe resolve.","<p>Credible deterrence <mark>keeps crises contained</mark>.</p>","contention","deterrence","bucket-ld-deterrence-stability",9,"Westwood AC","Westwood","Westwood AC","Harvard","4","Berkley Prep LM","Singh","2021","ld","varsity","/files/20","/wiki/20"
21,"Extended deterrence prevents allied proliferation","Morgan 21","Morgan, 2021, Defense Analysis, ""Extended Deterrence"", https://example.com/extended-deterrence","Reliable alliances stop allies from building independent arsenals.","Extended deterrence keeps allies under the umbrella and prevents destabilizing proliferation.","Extended deterrence keeps allies under the umbrella and prevents destabilizing proliferation during rivalry spikes.","<p>Extended deterrence <mark>prevents allied proliferation</mark>.</p>","contention","deterrence","bucket-ld-deterrence-allies",8,"Harker XZ","Harker","Harker XZ","Yale","6","Westwood AC","Diaz","2021","ld","varsity","/files/21","/wiki/21"
22,"Migration restrictions deny equal moral worth","Rahman 22","Rahman, 2022, Political Theory Forum, ""Borders and Equality"", https://example.com/borders-equality","Closed borders treat outsiders as morally inferior.","Migration restrictions rank human worth by birthplace and deny equal concern.","Migration restrictions rank human worth by birthplace and deny equal concern despite the moral arbitrariness of borders.","<p>Border restrictions <mark>deny equal concern</mark> and equal worth.</p>","contention","open borders","bucket-ld-borders",6,"Lincoln HL","Lincoln","Lincoln HL","Yale","6","Glenbrook South MM","Mehta","2022","ld","varsity","/files/22","/wiki/22"
23,"Reciprocal asylum duties follow cosmopolitan justice","Osei 22","Osei, 2022, Moral Philosophy Review, ""Reciprocal Asylum Duties"", https://example.com/asylum-duties","Affluent states owe protection duties to vulnerable migrants.","Cosmopolitan justice creates reciprocal asylum duties that override restrictive border preferences.","Cosmopolitan justice creates reciprocal asylum duties that override restrictive border preferences when lives are at stake.","<p>Cosmopolitan justice creates <mark>asylum duties</mark> that override restrictive borders.</p>","contention","open borders","bucket-ld-borders-duty",5,"Greenhill ST","Greenhill","Greenhill ST","Yale","4","Lincoln HL","Navarro","2022","ld","varsity","/files/23","/wiki/23"
24,"Stablecoins cut remittance fees","Vega 22","Vega, 2022, Payments Journal, ""Stablecoin Remittances"", https://example.com/stablecoin-remittances","Stablecoins reduce the cost of cross-border transfers.","Dollar-backed digital assets make remittances cheaper and faster for migrant families.","Dollar-backed digital assets make remittances cheaper and faster for migrant families who cannot access low-fee banking.","<p>Stablecoins <mark>cut remittance fees</mark> for migrant families.</p>","contention","cryptocurrency","bucket-pf-crypto-inclusion",10,"Blake JS","Blake","Blake JS","TOC","5","Durham PM","Ellis","2022","pf","varsity","/files/24","/wiki/24"
25,"Crypto wallets bypass predatory banking fees","Park 22","Park, 2022, Digital Finance, ""Wallet Access"", https://example.com/wallet-access","Direct wallet access gives users an exit from predatory fee structures.","Cryptocurrency wallets let users avoid overdraft and wire fees that traditional banks impose.","Cryptocurrency wallets let users avoid overdraft and wire fees that traditional banks impose on low-balance customers.","<p>Crypto wallets <mark>bypass predatory fees</mark> that traditional banks impose.</p>","contention","cryptocurrency","bucket-pf-crypto-fees",8,"Blake JS","Blake","Blake JS","TOC","7","University PM","Hsu","2022","pf","varsity","/files/25","/wiki/25"
26,"Digital asset fraud hurts retail users","Wright 22","Wright, 2022, Consumer Finance Monitor, ""Retail Crypto Risk"", https://example.com/crypto-risk","Weak safeguards expose retail investors to losses and scams.","Poor disclosure and rug-pull risk make cryptocurrency dangerous for ordinary consumers.","Poor disclosure and rug-pull risk make cryptocurrency dangerous for ordinary consumers who rely on hype instead of institutional protection.","<p>Weak safeguards make crypto <mark>dangerous for ordinary consumers</mark>.</p>","contention","cryptocurrency","bucket-pf-crypto-risk",7,"University PM","University","University PM","TOC","6","Blake JS","Morris","2022","pf","varsity","/files/26","/wiki/26"
27,"Content moderation reduces teen self-harm contagion","Kim 22","Kim, 2022, Journal of Adolescent Health, ""Self-Harm Contagion Online"", https://example.com/self-harm-contagion","Moderation interrupts exposure to harmful self-harm content.","Removing self-harm content lowers contagion effects and protects vulnerable teenagers.","Removing self-harm content lowers contagion effects and protects vulnerable teenagers during high-risk periods.","<p>Moderation <mark>interrupts contagion</mark> and protects vulnerable teenagers.</p>","contention","social media","bucket-pf-health",5,"Newton South LL","Newton South","Newton South LL","Sunvite","5","Whitman PR","Allen","2022","pf","varsity","/files/27","/wiki/27"
28,"Platform bans limit harassment spirals","Torres 22","Torres, 2022, Media Policy Review, ""Harassment Spirals"", https://example.com/harassment-spirals","Deplatforming serial abusers reduces networked harassment.","Bans disrupt harassment spirals that spill over into severe mental-health harms.","Bans disrupt harassment spirals that spill over into severe mental-health harms for students and young users.","<p>Platform bans <mark>limit harassment spirals</mark> that drive mental-health harms.</p>","contention","social media","bucket-pf-health-harassment",4,"Newton South LL","Newton South","Newton South LL","Sunvite","6","Walt Whitman PR","Pena","2022","pf","varsity","/files/28","/wiki/28"
29,"Mandatory service builds durable civic trust","Lopez 22","Lopez, 2022, Civic Practice, ""Service and Trust"", https://example.com/service-trust","Structured service cultivates trust across social difference.","Community service requirements create repeated prosocial contact and durable civic trust.","Community service requirements create repeated prosocial contact and durable civic trust across class and neighborhood divides.","<p>Service requirements build <mark>durable civic trust</mark>.</p>","contention","community service","bucket-bq-service-civic",5,"Lake Highland EF","Lake Highland","Lake Highland EF","NSDA Nats","6","Plano East GH","Parker","2022","bq","varsity","/files/29","/wiki/29"
30,"Service requirements teach democratic reciprocity","Morris 22","Morris, 2022, Education and Democracy, ""Reciprocity in Schools"", https://example.com/democratic-reciprocity","Shared obligations teach students how to contribute to a common project.","Compulsory service teaches democratic reciprocity by linking rights with reciprocal obligations.","Compulsory service teaches democratic reciprocity by linking rights with reciprocal obligations and public contribution.","<p>Service requirements teach <mark>democratic reciprocity</mark>.</p>","contention","community service","bucket-bq-service-reciprocity",4,"Providence CD","Providence","Providence CD","NSDA Nats","4","Lake Highland EF","Kent","2022","bq","varsity","/files/30","/wiki/30"
31,"Compulsory service crowds out genuine altruism","Harper 22","Harper, 2022, Ethics in Education, ""Compulsion and Altruism"", https://example.com/altruism-crowding","Mandatory service can hollow out intrinsic motivation.","Forcing service turns civic action into compliance and reduces authentic altruism.","Forcing service turns civic action into compliance and reduces authentic altruism over time.","<p>Compulsory service can <mark>crowd out genuine altruism</mark>.</p>","contention","community service","bucket-bq-service-neg",4,"Bellarmine CD","Bellarmine","Bellarmine CD","NSDA Nats","5","East Chapel Hill AB","Dunn","2022","bq","varsity","/files/31","/wiki/31"
32,"Art must unsettle the powerful","Carter 21","Carter, 2021, Public Aesthetics, ""Art and Power"", https://example.com/art-power","Art matters when it disrupts settled hierarchies of comfort.","The best art unsettles the powerful and reveals moral blind spots.","The best art unsettles the powerful and reveals moral blind spots that polite discourse often hides.","<p>Great art <mark>unsettles the powerful</mark> and reveals blind spots.</p>","contention","art ethics","bucket-bq-art",4,"East Chapel Hill AB","East Chapel Hill","East Chapel Hill AB","NSDA Nats","3","Bellarmine CD","Stone","2021","bq","varsity","/files/32","/wiki/32"
33,"Great art exposes hidden violence","Basu 21","Basu, 2021, Culture Review, ""Hidden Violence in Art"", https://example.com/art-violence","Aesthetic disruption reveals violence normalized by everyday life.","Art has special value because it exposes hidden violence that polite institutions sanitize.","Art has special value because it exposes hidden violence that polite institutions sanitize and obscure.","<p>Art exposes <mark>hidden violence</mark> that institutions sanitize.</p>","contention","art ethics","bucket-bq-art",3,"East Chapel Hill AB","East Chapel Hill","East Chapel Hill AB","NSDA Nats","4","Lake Highland EF","Reyes","2021","bq","varsity","/files/33","/wiki/33"
34,"Constitutional courts check emergency powers","Sullivan 22","Sullivan, 2022, Constitutional Quarterly, ""Emergency Powers"", https://example.com/emergency-powers","Courts prevent executives from normalizing exceptional powers.","Constitutional courts stop emergency powers from hardening into permanent overreach.","Constitutional courts stop emergency powers from hardening into permanent overreach and preserve limits on detention.","<p>Constitutional courts <mark>check emergency powers</mark> and stop permanent overreach.</p>","advantage","courts","bucket-policy-courts-rights",6,"Harvard RS","Harvard","Harvard RS","Greenhill","4","MBA AM","Ibarra","2022","policy","varsity","/files/34","/wiki/34"
35,"Federal judges stop unlawful detention","Walsh 22","Walsh, 2022, Civil Liberties Forum, ""Judges and Detention"", https://example.com/unlawful-detention","Judges enforce due-process limits when detention policy exceeds statutory authority.","Federal courts stop unlawful detention policies before executive abuse becomes entrenched.","Federal courts stop unlawful detention policies before executive abuse becomes entrenched and normalize rights violations.","<p>Federal judges <mark>stop unlawful detention</mark> before abuse becomes entrenched.</p>","advantage","courts","bucket-policy-courts-rights",5,"Harvard RS","Harvard","Harvard RS","Greenhill","5","Georgetown JD","Frost","2022","policy","varsity","/files/35","/wiki/35"
36,"Taiwan deterrence prevents opportunistic invasion","Kwan 22","Kwan, 2022, Asian Security Review, ""Taiwan Deterrence"", https://example.com/taiwan-deterrence","Visible denial capabilities make opportunistic attacks unlikely.","Taiwan deterrence raises invasion costs and keeps crises short of major-power war.","Taiwan deterrence raises invasion costs and keeps crises short of major-power war by removing hopes of a quick fait accompli.","<p>Taiwan deterrence raises <mark>invasion costs</mark> and keeps crises below major war.</p>","advantage","us china war","bucket-policy-war-taiwan",6,"Georgetown JD","Georgetown","Georgetown JD","Greenhill","5","Northwestern MN","Hale","2022","policy","varsity","/files/36","/wiki/36"
37,"Cryptocurrency improves payment resilience in fragile banking systems","Ibarra 22","Ibarra, 2022, Emerging Markets Finance, ""Payment Resilience"", https://example.com/payment-resilience","Crypto rails offer a backup when local banks fail or freeze.","Cryptocurrency gives users a resilient payment rail when fragile banking systems break down.","Cryptocurrency gives users a resilient payment rail when fragile banking systems break down during capital-control shocks.","<p>Cryptocurrency creates a <mark>resilient payment rail</mark> during banking breakdowns.</p>","contention","cryptocurrency","bucket-pf-crypto-inclusion",9,"Blake JS","Blake","Blake JS","TOC","8","Durham PM","Cross","2022","pf","varsity","/files/37","/wiki/37"
38,"Community service deepens local belonging","Perez 22","Perez, 2022, Youth Civic Life, ""Belonging Through Service"", https://example.com/local-belonging","Shared service makes students feel responsible for the places they inhabit.","Community service deepens local belonging by making students directly responsible to neighbors.","Community service deepens local belonging by making students directly responsible to neighbors and visible community needs.","<p>Community service deepens <mark>local belonging</mark> and neighborly responsibility.</p>","contention","community service","bucket-bq-service-civic",4,"Lake Highland EF","Lake Highland","Lake Highland EF","NSDA Nats","7","Providence CD","Flores","2022","bq","varsity","/files/38","/wiki/38"
39,"Deterrence preserves crisis stability in multipolar rivalry","Stein 22","Stein, 2022, Global Security Forum, ""Multipolar Crisis Stability"", https://example.com/multipolar-crisis-stability","Deterrence still matters when several rivals interact across theaters.","Deterrence preserves crisis stability even under multipolar rivalry by clarifying costs.","Deterrence preserves crisis stability even under multipolar rivalry by clarifying costs and narrowing incentives for rapid escalation.","<p>Deterrence preserves <mark>crisis stability</mark> under multipolar rivalry.</p>","contention","deterrence","bucket-ld-deterrence-crisis",7,"Westwood AC","Westwood","Westwood AC","Harvard","5","Harker XZ","Porter","2022","ld","varsity","/files/39","/wiki/39"
40,"Courts force agency compliance on emissions deadlines","Fields 22","Fields, 2022, Administrative Law Review, ""Agency Deadlines"", https://example.com/agency-deadlines","Courts compel agencies to obey statutory climate deadlines.","When agencies miss statutory deadlines, courts force rapid compliance and emissions enforcement.","When agencies miss statutory deadlines, courts force rapid compliance and emissions enforcement through mandatory scheduling orders.","<p>Courts force <mark>agency compliance</mark> on emissions deadlines.</p>","solvency","courts","bucket-policy-courts-methane",5,"Michigan KM","Michigan","Michigan KM","Glenbrooks","6","Berkeley CP","Olsen","2022","policy","varsity","/files/40","/wiki/40"
